"id","PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","GEO_ID"
"78","1","10","กรุงเทพมหานคร   ","2"
"79","2","11","สมุทรปราการ   ","2"
"80","3","12","นนทบุรี   ","2"
"81","4","13","ปทุมธานี   ","2"
"82","5","14","พระนครศรีอยุธยา   ","2"
"83","6","15","อ่างทอง   ","2"
"84","7","16","ลพบุรี   ","2"
"85","8","17","สิงห์บุรี   ","2"
"86","9","18","ชัยนาท   ","2"
"87","10","19","สระบุรี","2"
"88","11","20","ชลบุรี   ","5"
"89","12","21","ระยอง   ","5"
"90","13","22","จันทบุรี   ","5"
"91","14","23","ตราด   ","5"
"92","15","24","ฉะเชิงเทรา   ","5"
"93","16","25","ปราจีนบุรี   ","5"
"94","17","26","นครนายก   ","2"
"95","18","27","สระแก้ว   ","5"
"96","19","30","นครราชสีมา   ","3"
"97","20","31","บุรีรัมย์   ","3"
"98","21","32","สุรินทร์   ","3"
"99","22","33","ศรีสะเกษ   ","3"
"100","23","34","อุบลราชธานี   ","3"
"101","24","35","ยโสธร   ","3"
"102","25","36","ชัยภูมิ   ","3"
"103","26","37","อำนาจเจริญ   ","3"
"104","27","39","หนองบัวลำภู   ","3"
"105","28","40","ขอนแก่น   ","3"
"106","29","41","อุดรธานี   ","3"
"107","30","42","เลย   ","3"
"108","31","43","หนองคาย   ","3"
"109","32","44","มหาสารคาม   ","3"
"110","33","45","ร้อยเอ็ด   ","3"
"111","34","46","กาฬสินธุ์   ","3"
"112","35","47","สกลนคร   ","3"
"113","36","48","นครพนม   ","3"
"114","37","49","มุกดาหาร   ","3"
"115","38","50","เชียงใหม่   ","1"
"116","39","51","ลำพูน   ","1"
"117","40","52","ลำปาง   ","1"
"118","41","53","อุตรดิตถ์   ","1"
"119","42","54","แพร่   ","1"
"120","43","55","น่าน   ","1"
"121","44","56","พะเยา   ","1"
"122","45","57","เชียงราย   ","1"
"123","46","58","แม่ฮ่องสอน   ","1"
"124","47","60","นครสวรรค์   ","2"
"125","48","61","อุทัยธานี   ","2"
"126","49","62","กำแพงเพชร   ","2"
"127","50","63","ตาก   ","4"
"128","51","64","สุโขทัย   ","2"
"129","52","65","พิษณุโลก   ","2"
"130","53","66","พิจิตร   ","2"
"131","54","67","เพชรบูรณ์   ","2"
"132","55","70","ราชบุรี   ","4"
"133","56","71","กาญจนบุรี   ","4"
"134","57","72","สุพรรณบุรี   ","2"
"135","58","73","นครปฐม   ","2"
"136","59","74","สมุทรสาคร   ","2"
"137","60","75","สมุทรสงคราม   ","2"
"138","61","76","เพชรบุรี   ","4"
"139","62","77","ประจวบคีรีขันธ์   ","4"
"140","63","80","นครศรีธรรมราช   ","6"
"141","64","81","กระบี่   ","6"
"142","65","82","พังงา   ","6"
"143","66","83","ภูเก็ต   ","6"
"144","67","84","สุราษฎร์ธานี   ","6"
"145","68","85","ระนอง   ","6"
"146","69","86","ชุมพร   ","6"
"147","70","90","สงขลา   ","6"
"148","71","91","สตูล   ","6"
"149","72","92","ตรัง   ","6"
"150","73","93","พัทลุง   ","6"
"151","74","94","ปัตตานี   ","6"
"152","75","95","ยะลา   ","6"
"153","76","96","นราธิวาส   ","6"
"154","77","97","บึงกาฬ","3"
